IdentyfikatorProduktu(ID);Atrybut(Nazwa: Typ:Pozycja) *;Wartość(Wartość: Pozycja) *;Ilość
61;Rozmiar:select:0;M:0;50
61;Rozmiar:select:0;L:0;50
61;Rozmiar:select:0;XL:0;50
62;Rozmiar:select:0;M:0;50
62;Rozmiar:select:0;L:0;50
62;Rozmiar:select:0;XL:0;50
63;Rozmiar:select:0;M:0;50
63;Rozmiar:select:0;L:0;50
64;Rozmiar:select:0;M:0;50
64;Rozmiar:select:0;L:0;50
64;Rozmiar:select:0;XL:0;50
65;Rozmiar:select:0;M:0;50
65;Rozmiar:select:0;L:0;50
65;Rozmiar:select:0;XL:0;50
66;Rozmiar:select:0;M:0;50
66;Rozmiar:select:0;L:0;50
66;Rozmiar:select:0;XL:0;50
67;Rozmiar:select:0;M:0;50
67;Rozmiar:select:0;L:0;50
67;Rozmiar:select:0;XL:0;50
67;Rozmiar:select:0;XXL:0;50
68;Rozmiar:select:0;M:0;50
68;Rozmiar:select:0;L:0;50
68;Rozmiar:select:0;XL:0;50
68;Rozmiar:select:0;XXL:0;50
69;Rozmiar:select:0;M:0;50
69;Rozmiar:select:0;XXL:0;50
70;Rozmiar:select:0;M:0;50
70;Rozmiar:select:0;L:0;50
70;Rozmiar:select:0;XL:0;50
70;Rozmiar:select:0;XXL:0;50
71;Rozmiar:select:0;L:0;50
71;Rozmiar:select:0;XXL:0;50
72;Rozmiar:select:0;M:0;50
72;Rozmiar:select:0;L:0;50
72;Rozmiar:select:0;XXL:0;50
73;Rozmiar:select:0;M:0;50
73;Rozmiar:select:0;L:0;50
74;Rozmiar:select:0;XXL:0;50
75;Rozmiar:select:0;M:0;50
75;Rozmiar:select:0;XL:0;50
75;Rozmiar:select:0;XXL:0;50
76;Rozmiar:select:0;XXL:0;50
77;Rozmiar:select:0;XXL:0;50
78;Rozmiar:select:0;XXL:0;50
79;Rozmiar:select:0;S:0;50
79;Rozmiar:select:0;M:0;50
79;Rozmiar:select:0;L:0;50
79;Rozmiar:select:0;XL:0;50
79;Rozmiar:select:0;XXL:0;50
80;Rozmiar:select:0;S:0;50
80;Rozmiar:select:0;M:0;50
80;Rozmiar:select:0;XL:0;50
80;Rozmiar:select:0;XXL:0;50
81;Rozmiar:select:0;S:0;50
82;Rozmiar:select:0;S:0;50
4;Rozmiar:select:0;S:0;50
4;Rozmiar:select:0;M:0;50
4;Rozmiar:select:0;XL:0;50
5;Rozmiar:select:0;S:0;50
5;Rozmiar:select:0;M:0;50
5;Rozmiar:select:0;L:0;50
6;Rozmiar:select:0;S:0;50
6;Rozmiar:select:0;M:0;50
6;Rozmiar:select:0;L:0;50
